brain_code	main	species	"全称(L.W.Swanson, 2004)"	简称	"同义词全称(Paxinos & Watson, 2007 )"	同义词简称	其他同义词	简称
R25.12	"paraventricular hypothalamic nucleus, anterior parvicellular part"	Rat	"paraventricular hypothalamic nucleus, anterior parvicellular part"	PVHap	"paraventricular hypothalamic nucleus, anterior parvicellular part"	PaAP	parvicellular part of paraventricular hypothalamic nucleus	VLM
R25.2	"paraventricular hypothalamic nucleus, dorsal part"	Rat	"paraventricular hypothalamic nucleus, dorsal part"	PVHd	paraventricular hypothalamic nucleus， dorsal cap	PaDC	dorsal region of the PVN	
R25.31	"paraventricular hypothalamic nucleus, lateral parvicellular part"	Rat	"paraventricular hypothalamic nucleus, lateral parvicellular part"	PVHlp			lateral subdivision of hypothalamic paraventricular nucleus	BNSTam
R25.32	"paraventricular hypothalamic nucleus, lateral magnocellular part"	Rat			"paraventricular hypothalamic nucleus, lateral magnocellular part"	PaLM		
R25.4	"paraventricular hypothalamic nucleus, magnocellular division"	Rat	"paraventricular hypothalamic nucleus, magnocellular division"	PVHm			medial region of the PVN	
R25.41	"paraventricular hypothalamic nucleus, medial magnocellular part"	Rat	"paraventricular hypothalamic nucleus, medial magnocellular part"	PVHmm	"paraventricular hypothalamic nucleus, medial magnocellular part"	PaMM	magnocellular (mPVN) regions of the PVN	
R25.42	"paraventricular hypothalamic nucleus, medial parvicellular part"	Rat	"paraventricular hypothalamic nucleus, medial parvicellular part"	PVHmp	"paraventricular hypothalamic nucleus, medial parvicellular part"	PaMP	medial parvicellular	
R25.5	"paraventricular hypothalamic nucleus, parvicellular division"	Rat	"paraventricular hypothalamic nucleus, parvicellular division"	PVHp			periventricular region of the PVN	PMN
R25.51	"paraventricular hypothalamic nucleus, dorsal parvicellular part"	Rat	"paraventricular hypothalamic nucleus, dorsal parvicellular part"	PVHpd			dorsal parvocellular regions (PVN)	
R25.52	"paraventricular hypothalamic nucleus, posterior magnocellular part"	Rat	"paraventricular hypothalamic nucleus, posterior magnocellular part"	PVHpm	"paraventricular hypothalamic nucleus, posterior part"	PaPo	Posterior paraventricular	
R25.6	paraventricular hypothalamic nucleus，ventral part	Rat			paraventricular hypothalamic nucleus，ventral part	PaV		
R27	superior colliculus	Rat	superior colliculus	SC				
R28	subceruleus nucleus_sw	Rat	subceruleus nucleus_sw	SLC	subcoeruleus nucleus	SubC	the nucleus subcoeruleus	
R30	ventral posterolateral nucleus thalamus， principal part	Rat	ventral posterolateral nucleus thalamus， principal part	VPL	ventral posterolateral thalamic nucleus	VPL	ventral posterior lateral of the thalamus	
R31	ventral posteromedial nucleus thalamus， principal part	Rat	ventral posteromedial nucleus thalamus， principal part	VPM	ventral posteromedial thalamic nucleus	VPM	ventral posterior medial nuclei of the thalamus	
R32	ventromedial hypothalamic nucleus	Rat	ventromedial hypothalamic nucleus	VMH	ventromedial hypothalamic nucleus	VMH	Ventromedial nucleus	
R32.1	"ventromedial hypothalamic nucleus, dorsomedial part"	Rat	"ventromedial hypothalamic nucleus, dorsomedial part"	VMHdm	"ventromedial hypothalamic nucleus, dorsomedial part"	VMHDM	dorsomedial part of ventromedial hypothalamic nucleus	
R32.2	"ventromedial hypothalamic nucleus, ventrolateral part"	Rat	"ventromedial hypothalamic nucleus, ventrolateral part"	VMHvl	"ventromedial hypothalamic nucleus, ventrolateral part"	VMHVL	ventrolateral part of ventromedial hypothalamic nucleus	
R33	vestibular nuclei	Rat	vestibular nuclei	VNC				MEPD
R34	dorsal commissure，spinal cord	Rat	dorsal commissure，spinal cord	DCM				MeAD
R35	facial nucleus_sw	Rat	facial nucleus_sw	VII	facial nucleus	7N	facial nerve root	
R36	anterior hypothalamic nucleus_sw	Rat	anterior hypothalamic nucleus_sw	AHN	anterior hypothalamic area	AH	anterior hypothalamus	
R37	area postrema	Rat	area postrema	AP	area postrema	AP	postrema area	
R38	amygdala	Rat	amygdala	AMY			medial amygdala	
R38.1	basolateral amygdalar nucleus	Rat	basolateral amygdalar nucleus	BLA	basolateral amygdaloid nucleus	BL	basolateral nucleus of the amygdala	
R38.11	basolateral amygdalar nucleus， anterior part	Rat	basolateral amygdalar nucleus， anterior part	BLAa	basolateral amygdaloid nucleus，anterior part	BLA	anterior part of basolateral amygdaloid nucleus	
R38.2	central amygdalar nucleus	Rat	central amygdalar nucleus	CEA	central amygdaloid nucleus	Ce	central nucleus of the amygdala	
R38.21	central amygdalar nucleus， capsular part	Rat	central amygdalar nucleus， capsular part	CEAc	central amygdaloid nucleus，capsular part	CeC	capsular part of central amygdaloid nucleus	
R38.22	central amygdalar nucleus，lateral part	Rat	central amygdalar nucleus，lateral part	CEAl	"central amygdaloid nucleus, lateral division"	CeL	capsular part of central amygdaloid nucleus	CTF
R38.23	"central amygdalar nucleus, medial part"	Rat	"central amygdalar nucleus, medial part"	CEAm			lateral division of central amygdalar nucleus	
R38.3	medial amygdalar nucleus	Rat	medial amygdalar nucleus	MEA	medial amygdaloid nucleus	Me		
R38.32	"medial amygdalar nucleus, posterodorsal part"	Rat	"medial amygdalar nucleus, posterodorsal part"	MEApd	"medial amygdaloid nucleus, posterodorsal part"	MePD	posterodorsal medial amygdala nucleus	
R38.31	"medial amygdalar nucleus, anterodorsal part"	Rat	"medial amygdalar nucleus, anterodorsal part"	MEAad	"medial amygdaloid nucleus, ant dorsal"	MeAD	anterior-dorsal medial amygdala	
R38.4	lateral amygdalar nucleus	Rat	lateral amygdalar nucleus	LA				
R38.41	lateral amygdaloid nucleus， dorsolateral part	Rat			lateral amygdaloid nucleus， dorsolateral part	LaDL	dorsolateral part of lateral  amygdala	
R38.42	lateral amygdaloid nucleus， ventromedial part	Rat			lateral amygdaloid nucleus， ventromedial part	LaVM	ventromedial part of lateral  amygdala	
R38.5	cortical amygdalar nucleus_sw	Rat	cortical amygdalar nucleus_sw	COA				
R38.51	"cortical amygdalar nucleus, anterior part_sw"	Rat	"cortical amygdalar nucleus, anterior part_sw"	COAa	anterior cortical amygdaloid nucleus	ACo		
R38.52	"cortical amygdalar nucleus, posterior part_sw"	Rat	"cortical amygdalar nucleus, posterior part_sw"	COAp				
R38.521	"cortical amygdalar nucleus, posterior part, lateral zone_sw"	Rat	"cortical amygdalar nucleus, posterior part, lateral zone_sw"	COApl	posterolateral cortical amygdaloid nucleus	PLCo		
R38.522	"cortical amygdalar nucleus, posterior part, medial zone_sw"	Rat	"cortical amygdalar nucleus, posterior part, medial zone_sw"	COApm	posteromedial cortical amygdaloid nucleus	PMCo		
R38.6	intercalated amygdalar nuclei	Rat	intercalated amygdalar nuclei	IA	intercalated nuclei of the amygdala	I		
R38.7	posterior amygdalar nucleus	Rat	posterior amygdalar nucleus	PA	posteromedial cortical amygdaloid nucleus	PMCo		
R39	orbital area	Rat	orbital area	ORB				
R39.1	"orbital area, lateral part"	Rat	"orbital area, lateral part"	ORBl	lateral orbital cortex	LO	Lateralorbital	
R39.2	"orbital area, ventrolateral part_sw"	Rat	"orbital area, ventrolateral part_sw"	ORBvl			Ventrolateral orbital cortex	
R41	"central canal, spinal cord/medulla_sw"	Rat	"central canal, spinal cord/medulla_sw"	C	central canal	CC		
R42	"intermediate gray of the spinal cord, general"	Rat	"intermediate gray of the spinal cord, general"	IHg	intermediate gray layer of the superior colliculus	InG	intermediolateral gray (ILG)	
R43	central gray of the pons	Rat			central gray of the pons	CGPn	central gray pons	
R45	central lateral nucleus thalamus	Rat	central lateral nucleus thalamus	CL	centrolateral thalamic nucleus	CL		
R46	cuneate nucleus	Rat	cuneate nucleus	CU	cuneate nucleus	Cu		
R46.1	external cuneate nucleus	Rat	external cuneate nucleus	ECU	external cuneate nucleus	ECu		
R47	cuneiform nucleus	Rat	cuneiform nucleus	CUN	cuneiform nucleus	CnF		
R49	medullary reticular nucleus	Rat	medullary reticular nucleus	MDRN				
R49.1	medullary reticular nucleus， dorsal part	Rat	medullary reticular nucleus， dorsal part	MDRNd	"medullary reticular nucleus,dorsal part"	MdD	dorsal medullary reticular formation	
R49.2	"medullary reticular nucleus, ventral part"	Rat	"medullary reticular nucleus, ventral part"	MDRNv	"medullary reticular nucleus, ventral part"	MdV	the ventral reticular nucleus	
R50	dorsal motor nucleus vagus nerve	Rat	dorsal motor nucleus vagus nerve	DMX	dorsal motor nucleus of vagus	10N		
R51	dorsolateral fascicle_sw	Rat	dorsolateral fascicle_sw	dl			dorsolateral pocket	
R52	frontal region	Rat	frontal region	FRO	"frontal cortex, area 3"	Fr3		
R53	gracile nucleus，principal part	Rat	gracile nucleus，principal part	GR	gracile nucleus	Gr		
R54	hypoglossal nucleus	Rat	hypoglossal nucleus	XII	hypoglossal nucleus	12N		
R55	inferior colliculus	Rat	inferior colliculus	IC	inferior colliculus	IC		
R55.1	"inferior colliculus, central nucleus"	Rat	"inferior colliculus, central nucleus"	ICc	central nucleus of the inferior colliculus	CIC		
R55.2	"inferior colliculus, dorsal nucleus"	Rat	"inferior colliculus, dorsal nucleus"	ICd	dorsal cortex of the inferior colliculus	DCIC		
R55.3	"inferior colliculus, external nucleus"	Rat	"inferior colliculus, external nucleus"	ICe	external cortex of the inferior colliculus	ECIC		
R56	interfascicular nucleus raphé	Rat	interfascicular nucleus raphé	IF	interfascicular nucleus	IF		
R57	lateral hypothalamic area	Rat	lateral hypothalamic area	LHA	lateral hypothalamic area	LH		
R59	midbrain trigeminal nucleus	Rat	midbrain trigeminal nucleus	MEV	mesencephalic trigeminal nucleus	Me5		
R60	"medial mammillary nucleus, general_sw"	Rat	"medial mammillary nucleus, general_sw"	MMg				
R60.1	"medial mammillary nucleus, median part_sw"	Rat	"medial mammillary nucleus, median part_sw"	MMme				
R60.2	medial mammillary nucleus， lateral part	Rat			medial mammillary nucleus， lateral part	ML		
R61	nucleus ambiguus	Rat	nucleus ambiguus	AMB	ambiguus nucleus	Amb		
R62	olivary pretectal nucleus	Rat	olivary pretectal nucleus	OP	olivary pretectal nucleus	OPT		
R63	parabrachial pigmented nucleus of the VTA	Rat			parabrachial pigmented nucleus of the VTA	PBP		
R64	paragigantocellular reticular nucleus	Rat	paragigantocellular reticular nucleus	PGRN			paragigantocellular reticular nucleus	
R64.1	"paragigantocellular reticular nucleus, lateral part"	Rat	"paragigantocellular reticular nucleus, lateral part"	PGRNl			ventrolateral medulla	
R65	parafascicular nucleus	Rat	parafascicular nucleus	PF	parafascicular thalamic nucleus	PF		
R66	paranigral nucleus of the VTA	Rat			paranigral nucleus of the VTA	PN	paranigral nucleus	
R67	"pontine reticular nucleus,caudal part"	Rat	"pontine reticular nucleus,caudal part"	PRNc	"pontine reticular nucleus,caudal part"	PnC		
R68	pyramidal decussation	Rat	pyramidal decussation	pyd	pyramidal decussation	pyx		
R69	posterior hypothalamic nucleus	Rat	posterior hypothalamic nucleus	PH	posterior hypothalamic area	PHA	dorsal hypothalamic area	
R70	pia	Rat	pia	PI				
R71	paraventricular thalamic nucleus	Rat	paraventricular thalamic nucleus	PVT	paraventricular thalamic nucleus	PV		
R71.1	"paraventricular thalamic nucleus, posterior part"	Rat			"paraventricular thalamic nucleus, posterior part"	PVP		
R72	pyramid	Rat	pyramid	py	pyramidal cell layer of the hippocampus	Py		
R73	nucleus raphé magnus	Rat	nucleus raphé magnus	RM	raphe magnus nucleus	RMg		
R74	nucleus reuniens	Rat	nucleus reuniens	RE	reuniens thalamic nucleus	Re		
R75	rostral linear nucleus raphé	Rat	rostral linear nucleus raphé	RL	rostral linear nucleus of the raphe	RLi	rostral linear nucleus raphe	
R76	solitary tract	Rat	solitary tract	ts				
R77	subparafascicular nucleus thalamus	Rat	subparafascicular nucleus thalamus	SPF	subparafascicular thalamic nucleus	SPF		
R77.1	"subparafascicular nucleus thalamus, parvicellular part"	Rat	"subparafascicular nucleus thalamus, parvicellular part"	SPFp	"subparafascicular thalamic nucleus, parvicellular part"	SPFPC	"parvicellular part of the subparafascicular thalamic
nucleus(SPFp)"	
R77.11	"subparafascicular nucleus thalamus, parvicellular part, medial division"	Rat	"subparafascicular nucleus thalamus, parvicellular part, medial division"	SPFpm	"subparafascicular thalamic nucleus, parvicellular part"	SPFPC	medial parvocellular part of the subparafascicular thalamic nucleus	
R79	spinal tract of the trigeminal nerve	Rat	spinal tract of the trigeminal nerve	sptV				
R80	superior cerebellar peduncle	Rat	superior cerebellar peduncle	scp	superior cerebellar peduncle	scp		
R81	superior salivatory nucleus_sw	Rat	superior salivatory nucleus_sw	SSN	superior salivatory nucleus	SuS		
R82	supramammillary nucleus	Rat	supramammillary nucleus	SUM	supramammillary nucleus	SuM		
R83	supraoptic commissures	Rat	supraoptic commissures	sup	supraoptic nucleus	SO		
R84	reticular nucleus spinal cord	Rat	reticular nucleus spinal cord	RS				
R85	vestibular nerve	Rat	vestibular nerve	vVIIIn				
R86	anterior pretectal nucleus_sw	Rat	anterior pretectal nucleus_sw	APN	anterior pretectal nucleus	APT		
R87	bed nuclei stria terminalis	Rat	bed nuclei stria terminalis	BST	bed nucleus of stria terminalis	ST		
R87.1	"bed nuclei stria terminalis, anterior division"	Rat	"bed nuclei stria terminalis, anterior division"	BSTa	"bed nucleus of the stria terminalis, medial division, anterior part"	STMA		
R87.11	"bed nuclei stria terminalis, anterior division, anterolateral area"	Rat	"bed nuclei stria terminalis, anterior division, anterolateral area"	BSTal	"bed nucleus of the stria terminalis, medial division, anterolateral part"	STMAL	"bed nucleus of the stria terminalis, anterior division lateral group"	
R87.12	"bed nuclei stria terminalis, anterior division, anteromedial area"	Rat	"bed nuclei stria terminalis, anterior division, anteromedial area"	BSTam	"bed nucleus of the stria terminalis, medial division, anteromedial part"	STMAM	anteromedial part of the BNST	
R87.13	"bed nuclei stria terminalis, anterior division, dorsomedial nucleus"	Rat	"bed nuclei stria terminalis, anterior division, dorsomedial nucleus"	BSTdm				
R87.14	"bed nuclei stria terminalis, anterior division, oval nucleus"	Rat	"bed nuclei stria terminalis, anterior division, oval nucleus"	BSTov			the oval nucleus of the bed nucleus of the stria terminalis	
R87.15	"bed nuclei stria terminalis, anterior division, ventral nucleus"	Rat	"bed nuclei stria terminalis, anterior division, ventral nucleus"	BSTv	"bed nucleus of the stria terminalis, medial division, ventral part"	STMV	ventral bed nucleus of the stria terminalis	
R87.2	"bed nuclei stria terminalis, posterior division"	Rat	"bed nuclei stria terminalis, posterior division"	BSTp	"bed nucleus of the stria terminalis, medial division, posterior part"	STMP	Posterior nucleus of the bed nucleus of the stria terminalis	
R87.21	"bed nuclei stria terminalis, posterior division, dorsal nucleus"	Rat	"bed nuclei stria terminalis, posterior division, dorsal nucleus"	BSTd				
R87.3	"bed nucleus of the stria terminalis, lateral division"	Rat			"bed nucleus of the stria terminalis, lateral division"	STL	bed nucleus of the stria terminalis lateral division	
R87.31	"bed nucleus of the stria terminalis,lateral division, dorsal part"	Rat			"bed nucleus of the stria terminalis,lateral division, dorsal part"	STLD	BST(the bed nucleus of the  stria terminalis )dl，dorsolateral part of the nucleus	
R87.32	"bed nucleus of the stria terminalis,lateral division, ventral part"	Rat			"bed nucleus of the stria terminalis,lateral division, ventral part"	STLV	"lateral division of the bed nucleus of the stria terminalis, ventral part"	
R87.33	"bed nucleus of the stria terminalis,lateral division, posterior part"	Rat			"bed nucleus of the stria terminalis,lateral division, posterior part"	STLP	posterolateral part of the BNST	
R87.4	bed nucleus of the stria terminalis， medial division	Rat			bed nucleus of the stria terminalis， medial division	STM	"medial division of the bed nucleus of the stria terminalis, dorsal part"	
R87.41	"bed nucleus of the stria terminalis， medial division,posteromedial part"	Rat			"bed nucleus of the stria terminalis， medial division,posteromedial part"	STMPM	posteromedial nucleus of the stria terminalis	
R89	insular region	Rat	insular region	INS				
R92	parasympathetic system	Rat	parasympathetic system	PSY				
R93	principal mammillary tract	Rat	principal mammillary tract	pm	principal mammillary tract	pm		
R94	spinocerebellar tracts	Rat	spinocerebellar tracts	sct				
R95	primary somatosensory area	Rat	primary somatosensory area	SSp	primary somatosensory cortex	S1		
R96	"supraoptic nucleus, general"	Rat	"supraoptic nucleus, general"	SOg	supraoptic nucleus	SO		
R96.1	"supraoptic nucleus,proper"	Rat	"supraoptic nucleus,proper"	SO	supraoptic nucleus	SO		
R97	striatum	Rat	striatum	STR	caudate putamen (striatum)	CPu		
R98	substantia nigra	Rat	substantia nigra	SN				
R98.1	"substantia nigra,compact part"	Rat	"substantia nigra,compact part"	SNc	"substantia nigra,compact part"	SNc		
R99	ventral posterior complex thalamus	Rat	ventral posterior complex thalamus	VP			Ventrobasal thalamic complex	
R100	submedial nucleus thalamus	Rat	submedial nucleus thalamus	SMT	submedius thalamic nucleus	Sub	Thalamic nucleus submedius	
R101	superior olive	Rat	superior olive	SO	red nucleus	R	red nucleus	
R102	spinal vestibular nucleus	Rat	spinal vestibular nucleus	SPIV	spinal vestibular nucleus	SpVe	descending vestibular nucleus	
R103	rhomboid nucleus thalamus	Rat	rhomboid nucleus thalamus	RH	rhomboid thalamic nucleus	Rh	rhomboid nucleus	
R104	rostral ventrolateral medulla_sw	Rat	rostral ventrolateral medulla_sw	RVM			"paragigantocellular reticular nucleus, lateral part"	
R106	prefrontal region_sw	Rat	prefrontal region_sw	PFR			Prefrontal cortex	
R108	dorsal roots_sw	Rat	dorsal roots_sw	drt			dorsal root ganglia	
R109	medulla_sw	Rat	medulla_sw	MY			medulla oblongata	
R111	nucleus raphé pontis	Rat	nucleus raphé pontis	RPO	pontine raphe nucleus	PnR	raphe pontis nucleus	
R112	lateral geniculate complex	Rat	lateral geniculate complex	LG				
R112.1	"lateral geniculate complex, intergeniculate leaflet_sw"	Rat	"lateral geniculate complex, intergeniculate leaflet_sw"	IGL	intergeniculate leaf	IGL	the intergeniculate leaflet	
R113	caudal linear nucleus of the raphe	Rat			caudal linear nucleus of the raphe	Cli	caudal linear nucleus raphe	
R114	thalamus_sw	Rat	thalamus_sw	TH				
R115	superior central nucleus raphé_sw	Rat	superior central nucleus raphé_sw	CS	paramedian raphe nucleus	PMnR	paramedian raphe nucleus	
R115.1	"superior central nucleus raphé, lateral part_sw"	Rat	"superior central nucleus raphé, lateral part_sw"	CSl				
R115.2	"superior central nucleus raphé, medial part"	Rat	"superior central nucleus raphé, medial part"	CSm	median raphe nucleus	MnR	median raphe	
R116	dorsomedial hypothalamic nucleus	Rat	dorsomedial hypothalamic nucleus	DMH	dorsomedial hypothalamic nucleus	DM	dorsomedial hypothalamus	
R116.1	"dorsomedial hypothalamic nucleus, dorsal part"	Rat			"dorsomedial hypothalamic nucleus, dorsal part"	DMD		
R118	perifornical nucleus	Rat			perifornical nucleus	PeF		
R120	olfactory bulb	Rat	olfactory bulb	OB	olfactory bulb	OB		
R120.1	granular cell layer of the olfactory bulb	Rat			granular cell layer of the olfactory bulb	GrO		
R121	interstitial nucleus of the posterior limb of the anterior commissure	Rat	interstitial nucleus of the posterior limb of the anterior commissure	IPAC				
R121.1	"interstitial nucleus of the posterior limb of the anterior commissure, lateral part"	Rat			"interstitial nucleus of the posterior limb of the anterior commissure, lateral part"	IPACL		
R121.2	interstitial nucleus of the posterior limb of the anterior commissure， medial part	Rat			interstitial nucleus of the posterior limb of the anterior commissure， medial part	IPACM		
R123	anterior hypothalamic area	Rat	anterior hypothalamic area	AHA	anterior hypothalamic area	AH		
R124	anterior hypothalamic nucleus	Rat	anterior hypothalamic nucleus	AHN	anterior hypothalamic nucleus	LA		
R125	anterior olfactory nucleus	Rat	anterior olfactory nucleus	AON				
R125.1	"anterior olfactory nucleus, medial part"	Rat	"anterior olfactory nucleus, medial part"	AONm	anterior olfactory nucleus， medial part	AOM		
R125.2	anterior olfactory nucleus，ventral part	Rat			anterior olfactory nucleus，ventral part	AOV		
R126	anteroventral preoptic nucleus	Rat	anteroventral preoptic nucleus	AVP			AVPO	
