behavior	doi	species	gender	figure	condition	brain_code	cell_type
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 4	exposure to social defeat stress	R158	
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 3	exposure to social defeat stress	R140	
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 4	exposure to social defeat stress	R140	
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 3	exposure to social defeat stress	R38.3	
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 4	exposure to social defeat stress	R38.3	
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 3	exposure to social defeat stress	R38.2	
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 4	exposure to social defeat stress	R38.2	
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 3	exposure to social defeat stress	R38.1	
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 4	exposure to social defeat stress	R38.1	
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 3	exposure to social defeat stress	R6	
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 4	exposure to social defeat stress	R6	
aggression	10.1038/s41598-017-09106-3	mouse	male	Figure 2	physical stress(placed into the home cage of a CD1 aggressor)	B14.1	
aggression	10.1038/s41598-017-09106-3	mouse	male	Figure 2	physical stress(placed into the home cage of a CD2 aggressor)	B37	
aggression	10.1038/s41598-017-09106-3	mouse	male	Figure 2	physical stress(placed into the home cage of a CD3 aggressor)	B9	
aggression	10.1038/s41598-017-09106-3	mouse	male	Figure 2	physical stress(placed into the home cage of a CD4 aggressor)	B9	
aggression	10.1038/s41598-017-09106-3	mouse	male	Figure 3	physical stress(placed into the home cage of a CD5 aggressor)	B37	
aggression	10.1038/s41598-017-09106-3	mouse	male	Figure 3	emotional stress	B37	
aggression	10.1523/JNEUROSCI.5952-11.2012	mouse	male	Figure 6	repeated social defeat stress	B61	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 4	exposing females to a male intruder	B52.1	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 5	exposing females to a male intruder	B19.1	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 5	exposing females to a male intruder	B19.2	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 4	exposing females to a male intruder	B18.1	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 4	exposing females to a male intruder	B49	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 4	exposing females to a male intruder	B51	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 4	exposing females to a male intruder	B13	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 4	exposing females to a male intruder	B16	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 4	exposing females to a male intruder	B21.1	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 4	exposing females to a male intruder	B42	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Table 4	exposing females to a male intruder	B2	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 7	exposing females to a male intruder	B46	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 7	exposing females to a male intruder	B54	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 4	exposing females to a male intruder	B19	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Table 4	exposing females to a male intruder	B14	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Figure 6	exposing females to a male intruder	B10.3	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Table 4	exposing females to a male intruder	B10.1	
aggression	10.1016/j.physbeh.2005.02.010	mouse	female	Table 4	exposing females to a male intruder	B10.4	
aggression	10.1016/j.physbeh.2006.03.030	mouse	male	Figure 3	"agonistic encounter, frontal cortical areas"	B10.3	
aggression	10.1016/j.physbeh.2006.03.030	mouse	male	Figure 3	"agonistic encounter, frontal cortical areas"	B10.1	
aggression	10.1016/j.physbeh.2006.03.030	mouse	male	Figure 3	"agonistic encounter, frontal cortical areas"	B18	
aggression	10.1016/j.physbeh.2006.03.030	mouse	male	Figure 4	"agonistic encounter, frontal cortical areas"	B20	
aggression	10.1016/j.physbeh.2006.03.030	mouse	male	Figure 4	"agonistic encounter, frontal cortical areas"	B15	
aggression	10.1016/j.physbeh.2006.03.030	mouse	male	Figure 3	"agonistic encounter, frontal cortical areas"	B19	
aggression	10.1016/j.physbeh.2006.03.030	mouse	male	Figure 3	"agonistic encounter, frontal cortical areas"	B10.1	
aggression	10.1016/j.neuroscience.2004.05.034	mouse	female	Figure 1	aggressive encounter	B10.3	
aggression	10.1016/j.neuroscience.2004.05.034	mouse	female	Figure 1	aggressive encounter	B13	
aggression	10.1016/j.neuroscience.2004.05.034	mouse	female	Figure 1	aggressive encounter	B18.2	
aggression	10.1016/j.neuroscience.2004.05.034	mouse	female	Figure 1	aggressive encounter	B19	
aggression	10.1016/j.neuroscience.2004.05.034	mouse	female	Figure 1	aggressive encounter	B11	
aggression	10.1016/j.neuroscience.2004.05.034	mouse	female	Figure 1	aggressive encounter	B16	
aggression	10.1016/s0006-8993(01)02189-8	mouse	female	Figure 2	exposed to a male intruder for 20 min	B39	
aggression	10.1016/s0006-8993(01)02189-8	mouse	female	Figure 2	exposed to a male intruder for 20 min	B19	
aggression	10.1016/s0006-8993(01)02189-8	mouse	female	Figure 2	exposed to a male intruder for 20 min	B51	
aggression	10.1016/s0006-8993(01)02189-8	mouse	female	Figure 3	exposed to a male intruder for 20 min	B16	
aggression	10.1016/s0006-8993(01)02189-8	mouse	female	Figure 3	exposed to a male intruder for 20 min	B10.31	
aggression	10.1016/s0006-8993(01)02189-8	mouse	female	Figure 3	exposed to a male intruder for 20 min	B10.1	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	acute defeat stress (placed in situations of species-specific intermale aggression only once at 24 h Acute stress intervals)	B34	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	acute defeat stress (placed in situations of species-specific intermale aggression only once at 25 h Acute stress intervals)	B34	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	acute defeat stress (placed in situations of species-specific intermale aggression only once at 26 h Acute stress intervals)	B34	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	acute defeat stress (placed in situations of species-specific intermale aggression only once at 27 h Acute stress intervals)	B34	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	acute defeat stress (placed in situations of species-specific intermale aggression only once at 28 h Acute stress intervals)	B12.1	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	acute defeat stress (placed in situations of species-specific intermale aggression only once at 29 h Acute stress intervals)	B12.1	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	acute defeat stress (placed in situations of species-specific intermale aggression only once at 30 h Acute stress intervals)	B12.1	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	acute defeat stress (placed in situations of species-specific intermale aggression only once at 31 h Acute stress intervals)	B12.1	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	acute defeat stress (placed in situations of species-specific intermale aggression only once at 32 h Acute stress intervals)	B20.3	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	acute defeat stress (placed in situations of species-specific intermale aggression only once at 33 h Acute stress intervals)	B20.3	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	acute defeat stress (placed in situations of species-specific intermale aggression only once at 34 h Acute stress intervals)	B20.3	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	acute defeat stress (placed in situations of species-specific intermale aggression only once at 35 h Acute stress intervals)	B20.3	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	acute defeat stress (placed in situations of species-specific intermale aggression only once at 36 h Acute stress intervals)	B59	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	acute defeat stress (placed in situations of species-specific intermale aggression only once at 37 h Acute stress intervals)	B59	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	acute defeat stress (placed in situations of species-specific intermale aggression only once at 38 h Acute stress intervals)	B59	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	acute defeat stress (placed in situations of species-specific intermale aggression only once at 39 h Acute stress intervals)	B59	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 24 h intervals)	B35	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 25 h intervals)	B35	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 26 h intervals)	B35	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 5	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 27 h intervals)	B35	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 28 h intervals)	B14	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 29 h intervals)	B14	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 30 h intervals)	B14	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 5	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 31 h intervals)	B14	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 32 h intervals)	B13	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 33 h intervals)	B13	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 34 h intervals)	B13	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 5	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 35 h intervals)	B13	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 5	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 36 h intervals)	B18	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 37 h intervals)	B17	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 38 h intervals)	B17	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 6	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 39 h intervals)	B10.2	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 6	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 40 h intervals)	B10.4	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 6	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 41 h intervals)	B10.3	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 6	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 42 h intervals)	B40	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 6	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 43 h intervals)	B9	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 44 h intervals)	B33	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 44 h intervals)	B33	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 44 h intervals)	B33	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 5	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 44 h intervals)	B33	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 44 h intervals)	B71	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 44 h intervals)	B71	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 44 h intervals)	B71	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 5	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 44 h intervals)	B71	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 45 h intervals)	B22	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 45 h intervals)	B22	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 6	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 46 h intervals)	B51	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 47 h intervals)	B34	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 48 h intervals)	B34	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 48 h intervals)	B12.1	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 49 h intervals)	B7	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 50 h intervals)	B59	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 51 h intervals)	B47	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 52 h intervals)	B38	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 52 h intervals)	B38	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 52 h intervals)	B38	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 52 h intervals)	B38	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 53 h intervals)	B56	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 53 h intervals)	B56	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 53 h intervals)	B56	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 53 h intervals)	B56	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 54 h intervals)	B44	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 54 h intervals)	B44	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 55 h intervals)	B16	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 55 h intervals)	B16	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 56 h intervals)	B55	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 56 h intervals)	B55	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 57 h intervals)	B11	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 6	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 58 h intervals)	B11	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 59 h intervals)	B20.3	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 60 h intervals)	B36	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 7	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 60 h intervals)	B36	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 61 h intervals)	B41	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 61 h intervals)	B41	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 61 h intervals)	B41	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 61 h intervals)	B41	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 62 h intervals)	B60	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 62 h intervals)	B60	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 62 h intervals)	B60	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 62 h intervals)	B60	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 63 h intervals)	B42	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 63 h intervals)	B42	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 63 h intervals)	B42	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 63 h intervals)	B42	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 64 h intervals)	B50	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 64 h intervals)	B50	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 64 h intervals)	B50	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 64 h intervals)	B50	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 65 h intervals)	B53	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 65 h intervals)	B53	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 65 h intervals)	B53	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 65 h intervals)	B53	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 66 h intervals)	B58	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 66 h intervals)	B58	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 66 h intervals)	B58	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 66 h intervals)	B58	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 67 h intervals)	B30	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 67 h intervals)	B30	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 67 h intervals)	B30	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 67 h intervals)	B30	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 68 h intervals)	B43	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 68 h intervals)	B43	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 68 h intervals)	B43	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 68 h intervals)	B43	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 69 h intervals)	B45	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 69 h intervals)	B45	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 69 h intervals)	B45	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 69 h intervals)	B45	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 70 h intervals)	B29	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 70 h intervals)	B29	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 70 h intervals)	B29	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 70 h intervals)	B29	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 1	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 71 h intervals)	B57	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 2	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 71 h intervals)	B57	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 3	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 71 h intervals)	B57	
aggression	10.1016/S0168-0102(96)01088-X	mouse	male	Figure 4	chronic defeat stress (placed in situations of species-specific intermale aggression five times at 71 h intervals)	B57	
aggression	10.1016/S0006-8993(98)00925-1	mouse	male	Figure 3	defeat experience immediately before the cocaine injcetion	B61	
aggression	10.1016/S0006-8993(98)00925-1	mouse	male	Figure 3	defeat experience immediately before the cocaine injcetion	B21	
aggression	10.1016/S0006-8993(98)00925-1	mouse	male	Figure 3	defeat experience immediately before the cocaine injcetion	B42	
aggression	10.1016/S0006-8993(98)00925-1	mouse	male	Figure 3	defeat experience immediately before the cocaine injcetion	B15	
aggression	10.1016/S0006-8993(98)00925-1	mouse	male	Figure 4	single social defeat stress	B21	
aggression	10.1016/S0006-8993(98)00925-1	mouse	male	Figure 5	single social defeat stress	B21	
aggression	10.1073/pnas.0404085101	mouse	male	Figure 3	confronted with an opponent	B33	
aggression	10.1073/pnas.0404085101	mouse	male	Figure 3	confronted with an opponent	B10.3	
aggression	10.1016/j.cell.2014.07.049	mouse	male	Figure 1	attack	B10.32	
aggression	10.1016/j.cell.2019.09.020	mouse	male	Figure 5	resident-intruder assay(male)	B11.2	Esr1
aggression	10.1038/nature09736	mouse	male	Supplementary Figure S6	fighting	B11.2	vglut2
aggression	10.1038/nature09736	mouse	male	Supplymentary figure 1	fighting	B10.32	
aggression	10.1038/nature09736	mouse	male	Supplymentary figure 1	fighting	B10.33	
aggression	10.1038/nature09736	mouse	male	Supplymentary figure 1	fighting	B12.2	
aggression	10.1038/nature09736	mouse	male	Supplymentary figure 1	fighting	B12.2	
fear	10.1038/s41398-019-0368-y	rat	male	Figure  2	CO2	R116	
fear	10.1038/s41398-019-0368-y	rat	male	Figure  2	CO2	R3.12	
fear	10.1038/s41398-019-0368-y	rat	male	Figure  2	CO2	R38.1	
fear	10.1038/nature14030	rat	male	Figure  2	fear retrieval	R158	
fear	10.1038/nature14030	rat	male	Figure  2	fear retrieval	R38.1	
fear	10.1038/nature14030	rat	male	Figure  2	fear retrieval	R158	
fear	10.1038/nature14030	rat	male	Figure  2	fear retrieval	R71	
fear	10.1038/nature14030	rat	male	Figure  2	fear retrieval	R38.22	
